Database;species;species_tpl;plant.duration;Germination_p;Height_cm;LDMC_mg.g;LeafN.mass_mg.g;Root.diameter_mm;RootN.mass_mg.g;RS.ratio;Seed.mass_mg;SLA_mm2.mg;SRL_m.g;RMF_g.g;Root.depth_cm;Root.tissue.density_g.cm3
California_poaceae;Aristida purpurea;Aristida purpurea;perennial;NA;NA;NA;3.284;0.267583333;NA;NA;NA;20.73342332;147.2331947;0.382369686;NA;NA
California_poaceae;Avena barbata;Avena barbata;annual;NA;NA;NA;2.949;0.373688235;NA;NA;NA;24.85041385;149;0.5;NA;NA
California_poaceae;Avena fatua;Avena fatua;annual;NA;NA;NA;1.910185242;NA;NA;NA;NA;26.21181134;27.76162183;NA;NA;NA
California_poaceae;Bromus carinatus;Bromus carinatus;perennial;NA;NA;NA;3.995;0.315;NA;NA;NA;22.00558493;96.20199367;0.454425295;NA;NA
California_poaceae;Bromus diandrus;Bromus diandrus;annual;NA;NA;NA;2.463208175;NA;NA;NA;NA;19.64035746;121.5162658;NA;NA;NA
California_poaceae;Bromus madritensis;Bromus madritensis;annual;NA;NA;NA;4.5185;0.27338;NA;NA;NA;26.33710509;280.9;0.67;NA;NA
California_poaceae;Festuca microstachys;Vulpia microstachys;annual;NA;NA;NA;4.2845;0.20956;NA;NA;NA;20.62284283;305.5671932;0.594208633;NA;NA
California_poaceae;Festuca myuros;Vulpia myuros;annual;NA;NA;NA;3.673;0.205946667;NA;NA;NA;35.6095711;299.5543386;0.560727321;NA;NA
California_poaceae;Lolium perenne;Lolium perenne;1|2;NA;NA;NA;3.034;0.21928;NA;NA;NA;20.99124494;228.1242474;0.423542326;NA;NA
California_poaceae;Hordeum intercedens;Hordeum pusillum;annual;NA;NA;NA;3.0765;0.2668;NA;NA;NA;23.65497742;195.529588;0.600414709;NA;NA
California_poaceae;Leymus condensatus;Leymus condensatus;perennial;NA;NA;NA;5.905625;0.4077375;NA;NA;NA;28.22453918;98.1;0.59;NA;NA
California_poaceae;Melica imperfecta;Melica imperfecta;perennial;NA;NA;NA;5.3775;0.2548;NA;NA;NA;34.33552986;205.8619186;0.509997933;NA;NA
California_poaceae;Muhlenbergia rigens;Muhlenbergia rigens;perennial;NA;NA;NA;3.874;0.206516667;NA;NA;NA;20.01804198;334.4189787;0.357427441;NA;NA
California_poaceae;Stipa pulchra;Nassella pulchra;perennial;NA;NA;NA;5.3695;0.356625;NA;NA;NA;21.2309966;132.7;0.53;NA;NA
Mediterranean_poaceae;Arundo donax;Arundo donax;perennial;NA;132;NA;2.494;NA;NA;NA;NA;10.75721061;28.75;NA;NA;NA
Mediterranean_poaceae;Austrostipa flavescens;Stipa flavescens;perennial;NA;133;NA;2.216;NA;NA;NA;NA;10.18421225;13.06443125;NA;NA;NA
Mediterranean_poaceae;Avena barbata;Avena barbata;annual;NA;320.8;NA;2.528736794;NA;NA;NA;NA;21.58372259;70.57017157;NA;14.16666667;NA
Mediterranean_poaceae;Avena fatua;Avena fatua;annual;NA;186.4;NA;2.344176542;NA;NA;NA;NA;23.67786388;45.96856314;NA;7.626666667;NA
Mediterranean_poaceae;Briza maxima;Briza maxima;annual;NA;94;NA;2.347833981;NA;NA;NA;NA;11.6042008;109.99454;NA;NA;NA
Mediterranean_poaceae;Bromus diandrus;Bromus diandrus;annual;NA;69;NA;2.463208175;NA;NA;NA;NA;19.64035746;121.5162658;NA;6.88;NA
Mediterranean_poaceae;Bromus hordeaceus;Bromus hordeaceus;annual;NA;39.2;NA;1.743091249;NA;NA;NA;NA;24.03720833;45.03389632;NA;7.5;NA
Mediterranean_poaceae;Bromus madritensis;Bromus madritensis;annual;NA;50.8;NA;2.386466074;NA;NA;NA;NA;23.36294703;120.5;NA;7.34;NA
Mediterranean_poaceae;Ehrharta calycina;Ehrharta calycina;2|1;NA;219;NA;2.201137743;NA;NA;NA;NA;14.06942819;20.61106548;NA;NA;NA
Mediterranean_poaceae;Elymus multisetus;Elymus multisetus;perennial;NA;46.2;NA;2.149344468;NA;NA;NA;NA;84.18823041;17.74304127;NA;30.5;NA
Mediterranean_poaceae;Lolium perenne;Lolium perenne;1|2;NA;122.4;NA;2.46429779;NA;NA;NA;NA;8.086804067;111.8463562;NA;NA;NA
Mediterranean_poaceae;Hordeum brachyantherum ssp. Californicum;Hordeum californicum;perennial;NA;53.2;NA;2.953178596;NA;NA;NA;NA;6.296102597;36.26373626;NA;25;NA
Mediterranean_poaceae;Hordeum marinum;Hordeum marinum;annual;NA;16.1;NA;1.293183351;NA;NA;NA;NA;27.08473593;51.67355727;NA;6.7;NA
Mediterranean_poaceae;Hordeum murinum;Hordeum murinum;annual;NA;12.56;NA;3.186;NA;NA;NA;NA;14.30993649;14.07489923;NA;7.833333333;NA
Mediterranean_poaceae;Lagurus ovatus;Lagurus ovatus;annual;NA;15.28;NA;3.092;NA;NA;NA;NA;20.73014693;27.54907555;NA;14.5;NA
Mediterranean_poaceae;Lolium multiflorum;Lolium multiflorum;1|2;NA;24.875;NA;1.708362281;NA;NA;NA;NA;21.77456973;46.72767642;NA;10.3125;NA
Mediterranean_poaceae;Melica californica;Melica californica;perennial;NA;77.2;NA;2.310083246;NA;NA;NA;NA;24.71508458;NA;NA;14;NA
Mediterranean_poaceae;Nassella lepida;Nassella lepida;perennial;NA;85.1;NA;1.740862131;NA;NA;NA;NA;21.37365912;16.56428497;NA;16;NA
Mediterranean_poaceae;Nassella pulchra;Nassella pulchra;perennial;NA;36.4;NA;1.951918054;NA;NA;NA;NA;17.4619879;12.71510752;NA;11.3;NA
Mediterranean_poaceae;Poa secunda;Pseudosclerochloa rupestris;perennial;NA;39.1;NA;1.926326454;NA;NA;NA;NA;22.70907687;10.74856972;NA;9.4;NA
Mediterranean_poaceae;Tribolium uniolae;Tribolium uniolae;perennial;NA;29.2;NA;1.395588698;NA;NA;NA;NA;5.016428669;90.37698413;NA;NA;NA
Mediterranean_poaceae;Festuca bromoides;Vulpia bromoides;annual;NA;21;NA;2.984;NA;NA;NA;NA;NA;73.62427791;NA;7.7;NA
Mediterranean_poaceae;Festuca microstachys var pauciflora;Vulpia microstachys var. pauciflora;annual;NA;26.4;NA;0.808092618;NA;NA;NA;NA;15.01264515;87.73569024;NA;6.25;NA
TRY;Aira caryophyllea;Aira caryophyllea;annual;100;13.25;279.6666667;NA;NA;NA;NA;0.108352941;21.08;NA;NA;NA;NA
TRY;Apera spica-venti;Apera spica-venti;annual;100;66.25;252;NA;NA;NA;NA;0.114117647;19.13333333;NA;NA;NA;NA
TRY;Avena barbata;Avena barbata;annual;100;31.93333333;242.7142857;18.5;NA;NA;NA;9.8196825;28.80384615;NA;NA;NA;NA
TRY;Avena fatua;Avena fatua;annual;95;86.25;242;28.3;NA;NA;NA;20.438;21.775;NA;NA;NA;NA
TRY;Bouteloua aristidoides;Bouteloua aristidoides;annual;65;NA;NA;15.9;NA;NA;NA;0.68;NA;NA;NA;NA;NA
TRY;Brachypodium distachyon;Brachypodium distachyon;annual;98.75;NA;NA;NA;NA;NA;NA;2.899763514;32.24;NA;NA;NA;NA
TRY;Briza maxima;Briza maxima;annual;93.66666667;NA;NA;10.2;NA;NA;NA;2.929583333;68.9;NA;NA;NA;NA
TRY;Briza minor;Briza minor;annual;93.33333333;NA;NA;NA;NA;NA;NA;0.297;NA;NA;NA;NA;NA
TRY;Bromus arvensis;Bromus arvensis;annual;NA;41.77;276;NA;NA;NA;NA;2.387769231;21.77857143;NA;NA;NA;NA
TRY;Bromus diandrus;Bromus diandrus;annual;96;NA;289;NA;NA;NA;NA;10.75;39;NA;NA;NA;NA
TRY;Bromus hordeaceus;Bromus hordeaceus;annual;100;90;287.9409091;21.9;NA;NA;NA;2.637028537;29.60585832;NA;NA;NA;NA
TRY;Bromus japonicus;Bromus japonicus;annual;100;35;286.6;NA;NA;NA;NA;2.756;24.69990132;NA;NA;NA;NA
TRY;Bromus rubens;Bromus rubens;annual;100;NA;NA;NA;NA;NA;NA;2.3161;NA;NA;NA;NA;NA
TRY;Bromus sterilis;Bromus sterilis;annual;100;37.5;230.75;NA;NA;NA;NA;7.0893125;32.26454545;NA;NA;NA;NA
TRY;Bromus tectorum;Bromus tectorum;annual;95.2;29.21428571;158.29;NA;NA;NA;NA;2.972409167;29.59476694;NA;NA;NA;NA
